                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98147,                   1.34,                 1.2184,                0.92396,                0.91185,                0.95831,                0.75447,                0.70285,                0.65362,                0.94541,              0.0033251,              0.0033251,              0.0033251
                      2,                0.89742,                 0.8662,                 1.1603,                 0.9194,                0.87884,                0.94651,                0.72857,                0.79393,                 0.6759,                 1.0353,              0.0065925,              0.0065925,              0.0065925
                      3,                0.94368,                0.83495,                 1.1908,                 0.9115,                0.89602,                 0.9455,                0.71632,                0.84441,                0.64452,                 1.0676,              0.0097939,              0.0097939,              0.0097939
                      4,                0.96271,                0.80582,                 1.2132,                0.92261,                0.91847,                0.95555,                0.72454,                0.80843,                0.58706,                 1.0515,               0.009703,               0.009703,               0.009703
                      5,                0.93924,                0.74912,                 1.2018,                0.93451,                  0.912,                0.96077,                 0.7491,                0.77289,                0.53675,                 1.0338,               0.009604,               0.009604,               0.009604
                      6,                0.91668,                0.70855,                 1.1931,                0.92949,                0.92842,                0.96467,                0.75204,                0.77483,                0.51854,                 1.0276,               0.009505,               0.009505,               0.009505
                      7,                0.90282,                0.69298,                 1.1928,                0.92857,                0.91674,                0.96295,                0.76139,                0.76379,                0.50439,                 1.0337,               0.009406,               0.009406,               0.009406
                      8,                0.88423,                 0.6612,                 1.1842,                 0.9349,                0.92691,                0.96825,                0.77548,                0.72259,                0.47463,                  1.012,               0.009307,               0.009307,               0.009307
                      9,                0.86673,                0.64923,                 1.1754,                0.93879,                0.93204,                 0.9711,                0.77782,                0.72956,                0.45632,                 1.0151,               0.009208,               0.009208,               0.009208
                     10,                0.85815,                0.63189,                 1.1708,                0.93741,                0.92988,                0.96966,                0.77728,                 0.7164,                0.47217,                 1.0086,               0.009109,               0.009109,               0.009109
                     11,                 0.8483,                0.62233,                 1.1637,                0.93669,                0.92304,                0.96884,                0.77073,                0.72904,                0.45966,                 1.0057,                0.00901,                0.00901,                0.00901
                     12,                0.83772,                0.61155,                 1.1633,                 0.9331,                0.92905,                0.96885,                0.78149,                 0.6998,                0.44164,                 1.0016,               0.008911,               0.008911,               0.008911
                     13,                0.83241,                0.60242,                 1.1567,                 0.9448,                0.93111,                0.97103,                0.77985,                0.70636,                0.44873,                 1.0113,               0.008812,               0.008812,               0.008812
                     14,                0.82351,                0.59684,                 1.1542,                0.93785,                0.92586,                0.96813,                0.77457,                0.73223,                 0.4497,                 1.0054,               0.008713,               0.008713,               0.008713
                     15,                0.82361,                0.59235,                 1.1553,                0.94345,                0.94029,                0.97555,                0.79548,                0.69165,                0.41022,                0.99276,               0.008614,               0.008614,               0.008614
                     16,                 0.8165,                 0.5793,                 1.1478,                0.94172,                0.94474,                0.97445,                0.79025,                0.69273,                0.41502,                0.98692,               0.008515,               0.008515,               0.008515
