                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97404,                 1.1399,                 1.2312,                  0.905,                0.90121,                  0.953,                0.72491,                0.83084,                0.70479,                 1.0489,             0.00066424,             0.00066424,             0.00066424
                      2,                0.96614,                0.85144,                 1.2181,                0.89306,                0.86747,                0.93465,                0.67918,                0.90532,                0.73255,                 1.1167,              0.0013177,              0.0013177,              0.0013177
                      3,                0.95975,                0.79249,                 1.2143,                0.89893,                 0.9019,                0.94625,                0.70638,                0.83924,                0.70428,                 1.0993,               0.001958,               0.001958,               0.001958
                      4,                0.94275,                 0.7476,                 1.2075,                0.91924,                0.89689,                0.95106,                0.73529,                0.79995,                0.57211,                 1.0717,              0.0019406,              0.0019406,              0.0019406
                      5,                0.91548,                0.71802,                 1.1916,                0.93274,                0.90571,                0.96418,                0.76242,                0.73077,                0.51224,                  1.013,              0.0019208,              0.0019208,              0.0019208
                      6,                0.88701,                0.68947,                 1.1811,                 0.9249,                0.92261,                0.96672,                0.76913,                0.74098,                0.48836,                 1.0191,               0.001901,               0.001901,               0.001901
                      7,                0.86235,                0.65937,                 1.1665,                0.92615,                0.91555,                 0.9633,                0.77445,                0.71486,                0.50251,                0.99685,              0.0018812,              0.0018812,              0.0018812
                      8,                 0.8582,                0.64946,                 1.1616,                0.93173,                0.92024,                0.96802,                0.75558,                0.76646,                0.49857,                  1.033,              0.0018614,              0.0018614,              0.0018614
                      9,                 0.8455,                0.63619,                 1.1586,                0.92969,                0.92457,                0.96857,                0.77689,                 0.7086,                0.47916,                 1.0032,              0.0018416,              0.0018416,              0.0018416
                     10,                0.83617,                0.63407,                  1.156,                0.93937,                0.92207,                0.97025,                0.78504,                0.69784,                 0.4559,                0.99411,              0.0018218,              0.0018218,              0.0018218
